X,y
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_003569.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_003569.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_000711.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_000711.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_000641.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_000641.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2011_001159.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2011_001159.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2011_003019.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2011_003019.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_002778.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_002778.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_000771.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_000771.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2011_000219.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2011_000219.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_003825.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_003825.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_007025.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_007025.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_003065.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_003065.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_004598.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_004598.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_002139.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_002139.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_004210.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_004210.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_005097.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_005097.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_002912.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_002912.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_004701.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_004701.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2011_001782.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2011_001782.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_004635.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_004635.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_002221.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_002221.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_001163.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_001163.png
