X,y
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_003933.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_003933.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_003345.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_003345.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_002229.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_002229.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_002254.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_002254.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_003773.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_003773.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2010_005166.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2010_005166.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_000285.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_000285.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2008_007031.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2008_007031.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2009_003975.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2009_003975.png
~/datasets/pascalvoc/VOCdevkit/VOC2012/JPEGImages/2011_001653.jpg,~/datasets/pascalvoc/VOCdevkit/VOC2012/SegmentationClass/2011_001653.png
