X,y
~/projects/TinyMachines.jl/examples/dataset/images/2009_003569.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_003569.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_000711.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_000711.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_000641.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_000641.png
~/projects/TinyMachines.jl/examples/dataset/images/2011_001159.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2011_001159.png
~/projects/TinyMachines.jl/examples/dataset/images/2011_003019.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2011_003019.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_002778.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_002778.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_000771.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_000771.png
~/projects/TinyMachines.jl/examples/dataset/images/2011_000219.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2011_000219.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_003825.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_003825.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_007025.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_007025.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_003065.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_003065.png
~/projects/TinyMachines.jl/examples/dataset/images/2010_004598.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2010_004598.png
~/projects/TinyMachines.jl/examples/dataset/images/2010_002139.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2010_002139.png
~/projects/TinyMachines.jl/examples/dataset/images/2010_004210.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2010_004210.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_005097.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_005097.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_002912.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_002912.png
~/projects/TinyMachines.jl/examples/dataset/images/2008_004701.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2008_004701.png
~/projects/TinyMachines.jl/examples/dataset/images/2011_001782.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2011_001782.png
~/projects/TinyMachines.jl/examples/dataset/images/2010_004635.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2010_004635.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_002221.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_002221.png
~/projects/TinyMachines.jl/examples/dataset/images/2009_001163.jpg,~/projects/TinyMachines.jl/examples/dataset/masks/2009_001163.png
